Signal,Signal type,"Type - Outbound, MUltithread, clsoed lost",Outbound Type,Signal description,Guides
% change in usage (increase or decrease) last x days,Product Usage,,Expansion,Change in usage indicates a touch point opportunity with customers. Customers with high usage present potential upsell opportunities. Disengaged customers with decreased usage present an opportunity to intervene and prevent churn.,
10K/financial update,Financial update,,Cold outbound,Public 10-K filings and quarterly earnings offer insights into a prospect's plans and challenges. Search for keywords related to your product to uncover key information.,
Abandoned cart,cart abandonded ,,Warm outbound,Connect with ICP-fit accounts that start the self-serve purchase process but abandon during checkout. They may need a custom plan more suited to enterprise.,
% of account whitespace,Whitespace,,Expansion,Accounts with ample white spacemake ideal targets for expansion plays.,
Champion joins new account,Job Switcher,,Cold outbound,Existing deal contact or product user switches jobs are perfect warm intros to new accounts.,https://www.pocus.com/playbook/product-champion-switches-jobs-playbook
Data breach / security incident,Company Update,,Cold outbound,"A data breach or security incident can delay a sales cycle due to heightened scrutiny, budget reallocations for recovery, and concerns over risk mitigation. It may also lead to a loss of trust, requiring more time to rebuild confidence.",
Demo requests,Demo engaged,,Warm outbound,This is one of the strongest signals you can get! A demo request is an active hand-raiser who is showing high intent to buy.,
Director+ signs up,Product Usage,,Expansion,Nurture decision makers who have signed up as a new user to help build pipeline or expand existing accounts.,
Engagement at events,Events Attended,,Warm outbound,"Engagement with events signals interest in relevant topics or solutions, providing the seller with context to tailor their outreach. It creates an opportunity to reference the event, address the prospect’s interests, and position the offering as a solution to their potential needs.",
Engagement with content,Marketing engagement,,Warm outbound,"If you’ve noticed an ICP user engaging with marketing content, reach out and work to build a personal relationship. The marketing engagement can be an early signal they’re in the research and discovery phase of buying.",
Engagement with LinkedIn,LinkedIn Content,,Warm outbound,Engagement with Linkedin content indicates interest. Leverage these contacts to continue the conversation.,
Engagement with website,Marketing engagement,,Warm outbound,"Website visitor account are showing some intent (depending on the pages they visit). Create playbooks to target prospects within these accounts specific to the pages they visited (pricing, demo, docs, etc.) or their lifecycle stage (active deal, customer, etc.)",https://www.pocus.com/playbook/signal-playbook-website-visitors
Engagement wtih Events ,Events Attended,,Warm outbound,"Engagement with events signals interest in relevant topics or solutions, providing the seller with context to tailor their outreach. It creates an opportunity to reference the event, address the prospect’s interests, and position the offering as a solution to their potential needs.",
Expanding Locations,Company Update,,Cold outbound,"When a customer adds new locations, it creates opportunities for a seller to expand by offering solutions that support scalability, consistency, and integration across multiple sites. The seller can position their product or service to help the customer manage growth.",
Feature adopting,PQA,,Expansion,"Build rapport with power users to understand how and why they’re so active in your product. They can be used for case studies or referrals, and may be open to account expansion.",
Former product user joins active deal,Sales Motion,,Expansion,Use a former product champion to advocate for you within an active deal.,
Funding announcement ,Financial update,,Cold outbound,Congratulate target accounts on a recent fundraise. Consider including a gift to build rapport.,
Hiring for X roles,Hiring update,,Cold outbound,"Hiring for new roles or replacement roles can give you insight into what is going on within an organization. Adding new head count or new roles indicates growth, where replacement hiring may indicate turn over or change. ",
Industry updates ,Industry update,,Cold outbound,Foster meaningful conversations by demonstrating knowledge of a customers challenges and offering solutions,
Industry updates / activity,Industry update,,Cold outbound,Foster meaningful conversations by demonstrating knowledge of a customers challenges and offering solutions,
Interactive demo complete,Sales motion,,Warm outbound,Reach out to prospects who have watched an interactive demo but have yet to take the next step.,
Invites sent,Product Usage,,Expansion,A great sign that your product is being adopted internally is the number of invites a current user has sent. Identify your best accounts and reach out to discuss enterprise offerings.,
Job posting,Hiring update,,Cold outbound,"Hiring for new roles or replacement roles can give you insight into what is going on within an organization. Adding new head count or new roles indicates growth, where replacement hiring may indicate turn over or change. ",
Lawsuits,Company Update,,Cold outbound,"If a customer is going through a lawsuit, a seller may reach out to a prospect by offering solutions that help mitigate risk, improve compliance, or streamline operations during a challenging time. The seller can position their product or service as a tool to help manage legal complexities, reduce operational disruptions, or ensure business continuity amid the uncertainty.",
layoffs,Company Update,,Cold outbound,"Layoffs can impact a sales cycle by reducing decision-making power, causing budget cuts, and shifting company priorities. It may also lead to longer approval times and uncertainty about future spending.",
M&A,Company Update,,Cold outbound,"When a customer is going through a merger or acquisition, it often leads to changes in processes, systems, and goals. A seller can reach out to a prospect by offering solutions that help streamline integration, manage new complexities, and support the alignment of the two companies' operations, helping the prospect navigate these transitions smoothly.",
Mentioned by competitor,Tech stack update,,Cold outbound,"Utilize this oppotunity to differentiate your product and highlight its unique value, as well as address any concerns. ",
Nearing paywall / usage limits,Product Usage,,Expansion,Monitor accounts using free or tiered subscriptions and reach out when they near a paywall to close a free-to-paid conversion or upsell them to the next plan tier.,
New department user added,Product Usage,,Expansion,Seats added from a new department could indicate use case expansion and an opportunity to upsell/expand.,
New geo sign-up,New Sign Up,,Expansion,Capitalize on expansion opportunities and new market opportunities,
New Stakeholder,Team Update,,Cold outbound,A new stakeholder coming on board at a target account is a great time to begin or restart sales conversations.,
Overages,Product Usage,,Expansion,Use overages as an opportunity to discuss contract expansion.,
partnership annoucements ,Company Update,,Cold outbound,"If a customer has experienced a data breach, a seller can reach out to a prospect by offering solutions that enhance security, improve data protection, and help prevent future breaches. It can also help a seller understand ongoing impacts to their prospect and the broader org. ",
Podcast / executive events,Executive event,,Cold outbound,Maximize opportunities by proactively engaging event attendees and podcast listeners. ,
PQA/PQL ,PQA,,Expansion,High PQA score indicates the prospect is a good fit and ready for engagement. Prioritize outreach with personalized messaging increasing the chances of conversion.,
Press release,Company Update,,Cold outbound,"Depending on information found in a recent press release, sellers can position their offering as a solution that complement annouced changes, demonstrating market awareness and building trust.",
Pricing updates,Product update,,Cold outbound,Enable a proactive response to pricing updates. ,
Product annoucement ,Product update,,Cold outbound,A customer's product announcement can help a seller reach out to a prospect by providing a timely and relevant conversation starter. It signals new needs or challenges that the seller's product can address.,
Product qualified account (PQA),PQA,,Expansion,High PQA score indicates the prospect is a good fit and ready for engagement. Prioritize outreach with personalized messaging increasing the chances of conversion.,
Product qualified lead (PQL),PQA,,Expansion,High PQL score indicates the prospect is a good fit and ready for engagement. Prioritize outreach with personalized messaging increasing the chances of conversion.,
Rebrand,Company Update,,Cold outbound,"A rebrand signals change within an organization, and a seller can leverage this insight to guide their discovery process. By looking for additional signals, they can align their solution with the upcoming changes and emerging needs.",
Recent news,Company Update,,Cold outbound,Increase engagement potential by using recent news to personalize your outreach and build credibility with prospects,
Seat utilization,Product Usage,,Expansion,Seat utilization metrics can be used to find ideal targets for expansion and upsell.,
Specific tech in tech stack,Tech stack update,,Cold outbound,Look for accounts that specifically mention their use of a complimentary product or a competitor. Job descriptions and co-marketing like case studies are a good resource.,
Stakeholder leaves,Team Update,,Cold outbound,Existing deal contact or product user switches jobs are perfect warm intros to new accounts.,
Stakeholder promoted,Team Update,,Cold outbound,Utilize promitions to strengthen relationships. Engage key decision makers to highlight how the product meets their needs.,
Reverse job switcher,Job Switcher,,Warm outbound,Use a former product champion to advocate for you within an active deal.,https://www.pocus.com/playbook/signal-playbook-reverse-job-switchers
Active deal visits high-intent page (pricing or demo),Website Visitor,,Warm outbound,Active deals visiting high intent pages is a perfect opportunity to send a helpful and relevant message with key resources.,https://www.pocus.com/playbook/signal-playbook-website-visitors
Usage in the 99th percentile,Product Usage,,Expansion,An account with top-level usage is ripe for expansion. Reach out to discuss increased contract tiers.,https://www.pocus.com/playbook/signal-playbook-product-usage-spik
Director+ user signs up,Product Usage,,Warm outbound,Nurture decision makers who have signed up as a new user to help build pipeline or expand existing accounts.,
Free trial nearing end,Product Usage,,Warm outbound,Trial period is coming to an end and account has not upgraded to paid yet. Nurture them to drive conversion.,https://www.pocus.com/playbook/signal-playbook-trial-ending
Upcoming contract renewal,Product Usage,,Expansion,"Renewals aren’t guaranteed, so begin the conversation early to retain your customers.",https://www.pocus.com/playbook/upcoming-contract-renewal
Consolidate multiple workspaces,Product update,,Expansion,"increase deal size, create more predictable revenue, and streamline accounts by consolidating individuals into one enterprise contract.",https://www.pocus.com/playbook/signal-playbook-consolidate-individual-accounts
Trial user visiting docs pages,Website Visitor,,Warm outbound,Trial users who spend time reviewing product documentation are displaying high-intent signals that they’re likely to convert from free to paid users.,https://www.pocus.com/playbook/documentation-visits-by-trial-users
New exec joined target account,Executive event,,Warm outbound,A new leader coming on board at a target account is a great time to begin or restart sales conversations.,https://www.pocus.com/playbook/new-leadership-at-target-account-playbook
Shared network contact at target account,Network,,Warm outbound,"Use a connection-in-common to get a foot in the door at a target account, either through a direct introduction or as a conversation starter.",https://www.pocus.com/playbook/linkedin-engagement-playbooks-powered-by-aware
High NPS score submitted,Product Usage,,Expansion,Connect with your product champions who are giving you high NPS scores to build relationships and retain their business.,
Low NPS score (L90 days),Product Usage,,Warm outbound,A low NPS score is a red flag that an account needs intervention and is at risk of churn.,https://www.pocus.com/playbook/signals-playbook-cs
Increase in support tickets,Product Usage,,Expansion,Frustrated customers often reach out to engage CS for assistance before reaching a breaking point and churning off the product. ,https://www.pocus.com/playbook/signals-playbook-cs
Incomplete onboarding checklist,Product Usage,,Warm outbound,"Customers who don’t complete onboarding may not fully adopt the product or see value, putting them at risk for churn.",
Integration connected,Product Usage,,Expansion,Integrations are indicator that customers are more fully adopting your product. Check in to see if they need enablement support.,
No integration after X days,Product Usage,,Warm outbound,"If your product is integration-dependent and a customer hasn’t completed the process within a set number of days, reach out to tackle issues and retain them. ",
Nearing paywall,Product Usage,,Expansion,Monitor accounts using free or tiered subscriptions and reach out when they near a paywall to close a free-to-paid conversion or upsell them to the next plan tier.,
Active Opp attended webinar,Marketing engagement,,Warm outbound,Noticed a target account at one of your webinars? Reach out to get the conversation going.,
Open source product used,Product Usage,,Warm outbound,"By targeting users who have downloaded your open source software, you can reach out when they’re most engaged and receptive to converting to a paid account.",https://www.pocus.com/playbook/build-pipeline-with-open-source-playbooks-powered-by-scarf
Competitor review on G2,Competitor,,Cold outbound,Check out what your competitor’s customers are saying on G2 to find out who could be ready to switch tools.,
Engagement with competitor social,Competitor,,Cold outbound,Keep an eye on your competitor’s social posts and see who’s engaging. Dissatisfied customers might be open to a conversation.,
Keyword mention on social,Marketing engagement,,Cold outbound,Look for prospects who are posting about the problems your product solves. Reach out with information on how you can help.,
Keyword mention in 10K filing ,Company Update,,Cold outbound,Public 10-K filings can give you a peek behind the scenes at what a prospect is planning or the issues they’ve been dealing with over the past year. Search for keywords relevant to your product.,
"Interactive demo completed, no live demo booked",Marketing engagement,,Warm outbound,Reach out to prospects who have watched an interactive demo but have yet to take the next step.,https://www.pocus.com/playbook/interactive-demo-playbooks-powered-by-arcade
Deal room activity ,Sales motion,,Warm outbound,"By using deal room engagement metrics you can identify the most pressing topics and run a playbook to provide additional information, moving you to closed-won faster.",https://www.pocus.com/playbook/deal-room-playbooks-powered-by-dock
Hit usage threshold ,Product Usage,,Expansion,Identify accounts that display a number of high-value traits. Use the reasons for PQA score as your primary opening line.,
Invites sent > X,Product Usage,,Expansion,A great sign that your product is being adopted internally is the number of invites a current user has sent. Identify your best accounts and reach out to discuss enterprise offerings.,
Senior IT user sign up,Product Usage,,Warm outbound,Connect with the team members who are responsible for implementing your product internally to close the deal or expand an existing contract.,
Free user last contacted 90+ days ago,Product Usage,,Warm outbound,Revisit stale opportunities after a 90+ day break to understand if business needs are still the same and let them know about product improvements and updates.,
Low product enagagement and high ICP fit,Product Usage,,Warm outbound,Engage high ICP-fit prospects that have aren’t engaging with your product. Consider sharing onboarding materials or sharing relevant case studies to get them excited about your product.,
Ratio of paid seats to company size less than 10%,Product Usage,,Expansion,"Depending on your industry and product, accounts with a paid set to company size ratio of less than 10% could be ideal targets for expansion and upsell.",
Negative spend variance,Product Usage,,Expansion,Account spending less than they had planned? This could be a good opportunity for an upsell or cross-sell to use the allotted budget.,
Positive spend variance,Product Usage,,Expansion,Customers may be frustrated if they’ve spent more than they budgeted due to account overages. Check in to ensure you don’t risk churning the account.,
Gmail sign up at ICP account,Product Usage,,Warm outbound,Personal email sign ups (like Gmail addresses) from users at a known target account are an opportunity to reach out about moving to an enterprise contract.,
Last active more than 60 days ago,Product Usage,,Warm outbound,Customers only get value out of the products they use. Prevent churn by reaching out as to accounts that have become inactive.,https://www.pocus.com/playbook/signal-playbook-product-usage-drop
ARR decrease WoW,Product Usage,,Expansion,ARR decreases indicate that something is causing accounts to churn. Talk to your customers to identify any issues ASAP.,
Stripe payment failed last 14 days,Product Usage,,Expansion,Failed payments for the method on file are a red flag that a customer may be churning. Connect with them as soon as possible.,
Cancellation with date in future,Product Usage,,Expansion,Start winback conversations before a cancellation is complete. Target accounts that have cancelled and will loose access on a future date.,
Product usage WoW decline,Product Usage,,Expansion,A slow decrease in product usage is an indicator that your account is at risk for churning. They may find your product too cumbersome to use or be implementing a replacement.,
Feature usage above average,Product Usage,,Expansion,"Build rapport with power users to understand how and why they’re so active in your product. They can be used for case studies or referrals, and may be open to account expansion.",
Decision Makers with high usage ,Product Usage,,Expansion,Executives that have met the high usage threshold.,
Approaching seat limit,Product Usage,,Expansion,Accounts that have a limited number of seats with high utilization may be open to increasing their allotment soon.,
New department users added,Product Usage,,Expansion,Seats added from a new department could indicate use case expansion and an opportunity to upsell/expand.,
Support tickets exceed limits,Product Usage,,Expansion,Signal indicates potential to upsell premium support,
Expired ICP trials ,Product Usage,,Warm outbound,Reconnect with ICPs who trialed your product but didn’t convert. ,
True up / overage,Product Usage,,Expansion,Use true ups or overages as an opportunity to discuss contract expansion.,
Billing owner is active,Product Usage,,Expansion,When the billing admin is logging in and exploring in their account it might be the right time to engage. Consider any upcoming renewals or opportunities to expand. ,
Decision Maker is free user,Product Usage,,Expansion,Decision makers who have been using the product for free likely already see value. Connect with them to close the deal.,
Product users at closed lost opps,Product Usage,,Warm outbound,Individual users at a closed-lost account can help reignite the conversation. Talk to them to help build a business case for an enterprise deal.,
Logins from 5+ devices,Product Usage,,Expansion,Seeing a suspicious number of log-ins? Check in with the account to ensure their access is secure.,
Professional services upsell,Product Usage,,Expansion,Offer white glove support or additional business services to accounts that would benefit.,
Unenagged senior leader,Product Usage,,Expansion,Previously active senior leaders who have become unengaged can be an early indicator of risk. Check in to make sure they’re satisfied with the product and seeing value.,
Pending invites,Product Usage,,Expansion,Nudge users who have been invited but haven’t set up an account yet to drive adoption or ensure they see value so you can close an open deal.,
Free user visited plan upgrade page,Product Usage,,Expansion,Free users who are exploring pricing and upgrade pages are showing high intent to convert. Share relevant information about what upgrading could unlock for them or their team.,
ICP account user engaged with marketing content,Product Usage,,Expansion,"If you’ve noticed an ICP user engaging with marketing content, reach out and work to build a personal relationship. The marketing engagement can be an early signal they’re in the research and discovery phase of buying.",
Domains with >50% account penetration,Product Usage,,Expansion,If your PLG product has achieved more than 50% account penetration layer in a sales assist to grow the account even further.,
X industry user sign up,Product Usage,,Expansion,Horizontal SaaS companies should build playbooks for specific verticals to narrow sales team tactics i.e. reaching out with specific use cases for a particular vertical,
X department or persona user sign up,Product Usage,,Expansion,Horizontal SaaS companies should build playbooks that are persona specific to narrow sales team outreach and tactics i.e. reaching out with a specific use case or feature for that persona,
Website description has ICP keywords,Website Visitor,,Cold outbound,Use keywords on a company’s website to identify new target accounts and build pipeline.,
Recently reactivated,Product Usage,,Expansion,"If a churned user has been logging back in or reactivated their account, you’ve got a strong signal that the account might be open to winback.",
International account sign up,Product Usage,,Expansion,"Seeing international account sign ups can signal that your product is being evaluated across the company, not just regionally. Reach out with market-specific information relevant to the new sign up.",
Multi-product usage ,Product Usage,,Expansion,"Accounts that are using multiple products may be able to be converted into an enterprise contract or, if already enterprise, cross-sold into more SKUs or a higher plan tier.",
Open support tickets during trial,Product Usage,,Expansion,"A customer’s trial period is the most important time to make a good impression. Any open tickets might indicate a less-than-ideal trial experience, so connect to make sure they remain happy users.",
Recent self-serve expansion,Product Usage,,Expansion,Check in with accounts that have recently expanded via self-serve motions to ensure they have all the information they need and uncover any additional expansion opportunities.,
Shared partner ,Network,,Warm outbound,Connect with a target account via an introduction from a shared partner or use the mutual connection as a conversation starter.,
Shared investor,Network,,Warm outbound,,
Admin user deactivated,Product Usage,,Expansion,"A deactivated admin user may be the result of a recent job change, but it can also be an early signal of churn. Check in to keep your account active and happy.",
Multiple events attended no active opps,Events Attended,,Warm outbound,Identify prospects who are attending multiple events you’re hosting but don’t have an active opportunity. They’re displaying enough intent to start a conversation.,
Accounts with less than X power users,Product Usage,,Warm outbound,Find single threaded accounts to multi-thread and drive usage across a critical mass of seats,
X plan user who started trial of Y product,Product Usage,,Expansion,Current paid users who start a trial of a new premium feature. Reach out to explore upsell or cross-sell.,
Health score decrease,Product Usage,,Expansion,A drop in health score indicates a larger issue. Check in with the account to solve any lingering issues and prevent churn.,
New Geo ,Company Update,,Cold outbound,"Hiring for new roles or replacement roles can give you insight into what is going on within an organization. Adding new head count or new roles indicates growth, where replacement hiring may indicate turn over or change. ",